date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:40	35611/35611	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2008:43:38%20GMT	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html	(from )
13:43:41	1002/1002	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2008:43:40%20GMT	https://demo.w3layouts.com/robots.txt		(from )
13:43:43	283184/283184	---M-Z	200	added ('OK')	text/css	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:43	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:43	67568/67568	---MCZ	200	added ('OK')	application/javascript	etag:W/%224896c8077f50520418d4d1ab293b6545%22	http://m.servedby-buysellads.com/monetization.js	D:/Programes-files/Desktop/ychr.com/sss/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:44	908/908	---M--	200	added ('OK')	image/png	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/logo.png	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/logo.png	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:44	33414/33414	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2008:43:42%20GMT	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/about.html	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/about.html	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:45	30482/30482	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2008:43:43%20GMT	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/causes.html	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/causes.html	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:45	22069/22069	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2008:43:43%20GMT	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/donate.html	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/donate.html	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
13:43:46	19968/19968	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2008:43:44%20GMT	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/error.html	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/error.html	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/index.html)
